PnL,EV,ExpROI,RoI,cum_PnL,cum_EV,rolling_PnL,rolling_EV
-24703.1275,9596.994560807805,354.8566666,2.507437500000001,-3382752.9028203473,479909.96322779683,-64665.703258642156,10322.483822376224
-51365.225,13747.480621289014,392.7694267,-217.5147142857143,-3434118.1278203474,493657.44384908583,-56779.61393864216,11703.9943834506
-56978.49808,10704.832334553776,236.7713802,-148.88886,-3491096.6259003473,504362.2761836396,-56361.25732190746,12165.74327223543
-20977.935,-255.31560598083598,192.7108756,-102.54,-3512074.5609003473,504106.9605776588,-56528.618036193184,11811.273443793352
-67246.76088070175,16221.423529742842,220.7028538,-243.53722280701754,-3579321.321781049,520328.38410740165,-58788.307813386156,12810.352508007796
-17818.96910549786,2895.258191257609,326.5238033,-105.107750999985,-3597140.290886547,523223.64229865925,-53574.05069095346,9699.001919957516
-20538.65485,8586.918127798786,212.4614973,-113.87719,-3617678.945736547,531810.560426458,-49172.65107690585,10087.2627586668
-128830.266796,-5436.170180286479,279.0502925,-244.447,-3746509.212532547,526374.3902461715,-50698.563464853505,8763.73366551918
-47098.47318733785,1101.201613560611,282.3927053,-143.98377168658388,-3793607.6857198845,527475.5918597322,-52797.7555076056,7947.196494147128
27421.62628787879,2295.576391310405,319.3244145,-75.0917040176208,-3766186.0594320055,529771.1682510426,-39212.25184418569,7135.177379155861
2190.26649,3638.611013179489,172.5672289,-14.383409999999998,-3763995.7929420057,533409.7792642221,-36791.43325039997,7033.896987585454
9266.0697260026,12327.622948503458,201.966275,143.86920266411258,-3754729.7232160033,545737.4022127256,-33104.05938182186,6924.930766432092
-79263.7778499125,15980.817242297673,315.796164662,-237.97624533002408,-3833993.501065916,561718.2194550233,-35249.13613896918,6738.296372152311
-123657.92977076923,6084.492424367439,396.1545662,-393.11283153846153,-3957651.430836685,567802.7118793908,-42828.68967973842,6963.553086600114
-41523.442991071424,2309.089329694317,311.0441117,-119.77234368131869,-3999174.8738277564,570111.801209085,-44030.14078624352,6442.9884272348645
-109499.1699986738,4615.786733667877,26.5076676,-242.62499999552966,-4108674.04382643,574727.5879427529,-48182.56542900594,5790.7245781190695
-87288.9375,10687.096201847555,447.6107696,-283.0889076923077,-4195962.98132643,585414.6841446004,-50347.59681614879,5789.457711497196
-57815.554375,3540.8998285736143,165.9073165,-176.251625,-4253778.53570143,588955.583973174,-52978.8553429345,6060.615956822514
-68787.172,9759.78267468914,210.9933149,-148.138145,-4322565.707701431,598715.3666478632,-53088.88470859866,5599.070181461536
289.3780000000006,5386.321285740656,210.7020411,-144.982475,-4322276.329701431,604101.6879336039,-51795.431343920245,5777.003259638896
13383.540265015015,5656.082396699192,281.1444684,32.73854671671672,-4308892.789436416,609757.7703303031,-49372.41740713346,5567.65785027464
-41841.89331990544,9200.066911058751,176.270678,-84.21241091465113,-4350734.6827563215,618957.8372413618,-43158.96215884099,6613.103356799298
-47324.23375,10830.91357713342,553.6122991,-292.164525,-4398058.916506321,629788.7508184953,-43175.08791331686,7308.082782768784
-198186.153,10830.363179863181,477.2530728,-483.50989,-4596245.069506321,640619.1139983585,-59289.929291022476,7917.710410522554
-32935.125,72.92564569389933,141.9353147,-62.480000000000004,-4629180.194506321,640692.0396440524,-61798.88582602248,7663.018598559298
-34717.335,9361.19269356066,143.5201483,-140.1215,-4663897.529506321,650053.232337613,-64940.55759216553,7451.130723206241
21471.190425285,9224.107945859198,256.7744385,-3.1195609979999954,-4642426.339081036,659277.3402834722,-57745.2027153657,6968.508630603493
-42848.204,4126.826334414635,358.2107259,-102.18339999999999,-4685274.543081036,663404.1666178869,-51973.079446025054,6828.675338464008
-60400.65,10375.173985368772,313.6253839,-341.588,-4745675.193081036,673779.3406032557,-53321.45137523423,7404.824242440754
-25881.82,-8213.604964898002,460.3485305,-250.655775,-4771557.0130810365,665565.7356383577,-47348.783518186094,6488.439121114619
-126160.21817094274,9171.301229459494,478.2031153,-300.7883777733751,-4897717.231251979,674737.0368678172,-50125.30356611059,6380.168051658329
9401.604,-1322.4059735643398,151.4030928,26.375,-4888315.627251979,673414.6308942528,-45324.07796789629,6032.789065791332
-9609.595483333334,-1424.7106349898459,211.0411557,-71.55152797619048,-4897925.222735312,671989.9202592629,-41097.10821670581,5233.896686528548
45181.65448721374,-9273.927520305062,402.5411052,-29.258684918893735,-4852743.568248098,662715.9927389579,-37890.51703904769,4186.736057525282
-65171.63100000001,15867.330125934132,236.9378855,-130.5208405,-4917915.199248098,678583.322864892,-43501.60070083448,4916.110895327778
-80787.17191984998,-1569.889311051226,273.3853701,-240.0967283328333,-4998702.371167948,677013.4335538407,-46283.40631511623,4146.828308034209
-99419.06939162336,-27.515593736648597,444.5577334,-153.9093988738744,-5098121.440559571,676985.9179601041,-50004.466003803616,3371.226224400632
-70296.27645893057,23094.95498346924,483.9399477,-352.9782159757985,-5168417.717018501,700080.8729435733,-40869.47482229866,4247.268496086779
-4631.480149508768,-642.391553977893,162.3123272,-81.77412999329448,-5173049.197168009,699438.4813895954,-38847.78590440643,4196.174410395936
-13401.494749919999,3914.897180467378,361.7238426,-121.869969999,-5186450.69191793,703353.3785700628,-37325.22588654357,3807.153302317845
-10560.08399985099,5562.529366094938,403.3248609,-110.51152999925495,-5197010.775917781,708915.9079361578,-39613.174059767574,3545.6119751918263
-51324.84319268293,-1067.891751285096,210.4649527,-89.20560668980944,-5248335.619110463,707848.0161848727,-40218.648287816344,3174.5606833561314
-51408.486486311485,-2070.557670858946,269.635509903,-186.69688486386485,-5299744.105596774,705777.4585140138,-39576.35089398146,2285.5798507684367
-38802.90045837284,6165.6538802718505,386.1010958,-92.65209523681925,-5338547.006055147,711943.1123942856,-40499.285212436655,3312.6697682805693
-96986.13924737675,6191.574886383367,517.1854389,-237.50528998884275,-5435533.145302524,718134.687280669,-38415.42243218195,3099.83217234656
335.6037500000002,1922.9305613602373,275.5710347,2.4038000000000004,-5435197.541552524,720057.6178420292,-39062.99387861053,3331.641924841173
-37704.001300535,5696.914637147168,224.9854756,-95.050875003375,-5472901.542853059,725754.5324791764,-41069.737151267786,3840.329444279531
-39895.94135051324,2950.765860130492,331.035786,-169.49705904562245,-5512797.484203572,728705.298339307,-47146.70828253399,4713.5218285963565
-89290.46087390403,2933.3823115549158,288.2544554,-260.46401439219477,-5602087.945077476,731638.6806508618,-48869.481844955706,3789.6684132835553
16556.759590056998,4358.130442186236,323.9553849,-78.09391799888242,-5585531.185487419,735996.8110930481,-41916.343879962355,4213.09839565766
